date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2021-03-02,1205.5102040816325,1521.2857142857142,2413.6938775510207,3629.408163265306,2413.6938775510207,1521.2857142857142,3629.408163265306,10.4,39.8,79.8
2021-03-03,1209.7551020408164,1542.142857142857,2486.3469387755104,3785.775510204082,2486.3469387755104,1542.142857142857,3785.775510204082,10.9,42,84.8
2021-03-04,1214,1563,2559,3942.1428571428573,2559,1563,3942.1428571428573,11.5,44.3,89.9
2021-03-05,1221.6734693877552,1596.2448979591836,2663.591836734694,NA,2129.918367346939,1596.2448979591836,2663.591836734694,12.3,29.9,47.5
2021-03-06,1229.3469387755101,1629.4897959183675,2768.183673469388,NA,2198.8367346938776,1629.4897959183675,2768.183673469388,13.2,31.9,50.7
2021-03-07,1237.0204081632653,1662.734693877551,2872.775510204082,NA,2267.7551020408164,1662.734693877551,2872.775510204082,14,34,53.9
2021-03-08,1244.6938775510205,1695.9795918367347,2977.3673469387754,NA,2336.673469387755,1695.9795918367347,2977.3673469387754,14.9,36,57.1
2021-03-09,1252.3673469387757,1729.2244897959185,3081.9591836734694,NA,2405.591836734694,1729.2244897959185,3081.9591836734694,15.7,38,60.3
2021-03-10,1260.0408163265306,1762.4693877551022,3186.5510204081634,NA,2474.5102040816328,1762.4693877551022,3186.5510204081634,16.5,40,63.5
2021-03-11,1267.7142857142858,1795.7142857142858,3291.1428571428573,NA,2543.4285714285716,1795.7142857142858,3291.1428571428573,17.4,42,66.6
2021-03-12,1295.0408163265306,1847.326530612245,3431.183673469388,NA,2639.2551020408164,1847.326530612245,3431.183673469388,18.2,44.3,70.4
2021-03-13,1322.3673469387757,1898.938775510204,3571.2244897959185,NA,2735.081632653061,1898.938775510204,3571.2244897959185,19,46.5,74.1
2021-03-14,1349.6938775510205,1950.5510204081634,3711.265306122449,NA,2830.908163265306,1950.5510204081634,3711.265306122449,19.8,48.8,77.8
2021-03-15,1377.0204081632653,2002.1632653061224,3851.3061224489797,NA,2926.734693877551,2002.1632653061224,3851.3061224489797,20.6,51,81.5
2021-03-16,1404.3469387755104,2053.775510204082,3991.3469387755104,NA,3022.561224489796,2053.775510204082,3991.3469387755104,21.4,53.3,85.2
2021-03-17,1431.6734693877552,2105.387755102041,4131.387755102041,NA,3118.3877551020414,2105.387755102041,4131.387755102041,22.2,55.6,88.9
2021-03-18,1459,2157,4271.428571428572,NA,3214.214285714286,2157,4271.428571428572,23,57.8,92.6
